epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,9725.48,0.86526,0.43306,1.07963,0.98208,0.97159,0.98758,0.6706,1.15224,0.42015,1.28051,0.0004258,0.0004258,0.0004258
89,9834.57,0.86998,0.4241,1.0788,0.9882,0.97741,0.98957,0.7504,0.90646,0.34125,1.14896,0.0004192,0.0004192,0.0004192
90,9948.46,0.86039,0.41931,1.0812,0.98626,0.97487,0.99101,0.71582,1.0205,0.36801,1.21492,0.0004126,0.0004126,0.0004126
91,10057.1,0.85553,0.4182,1.08194,0.98572,0.97509,0.98893,0.69083,1.09138,0.38759,1.2518,0.000406,0.000406,0.000406
92,10167.4,0.84514,0.40868,1.07607,0.98429,0.97591,0.99041,0.72569,0.97312,0.36997,1.18561,0.0003994,0.0003994,0.0003994
93,10276.6,0.85565,0.41317,1.07493,0.98109,0.97618,0.9893,0.71462,1.01816,0.37554,1.21523,0.0003928,0.0003928,0.0003928
94,10386,0.83993,0.39641,1.06197,0.98026,0.98281,0.98962,0.71435,1.02128,0.36811,1.21604,0.0003862,0.0003862,0.0003862
95,10496.7,0.8319,0.40236,1.05835,0.98289,0.97808,0.98835,0.72547,0.98629,0.35888,1.19979,0.0003796,0.0003796,0.0003796
96,10606.4,0.86104,0.42055,1.08087,0.98413,0.97726,0.98863,0.71606,1.00407,0.37461,1.20746,0.000373,0.000373,0.000373
97,10716.1,0.85513,0.41219,1.08467,0.97909,0.98445,0.98794,0.72418,0.95694,0.35722,1.17494,0.0003664,0.0003664,0.0003664
98,10826.2,0.83596,0.40924,1.065,0.9856,0.9809,0.98799,0.68421,1.10527,0.37476,1.24564,0.0003598,0.0003598,0.0003598
99,10934.7,0.8439,0.40661,1.07114,0.9859,0.9737,0.98822,0.69712,1.07087,0.37553,1.23598,0.0003532,0.0003532,0.0003532
100,11043.5,0.8389,0.41085,1.07299,0.98486,0.97738,0.98971,0.69962,1.05022,0.36787,1.22824,0.0003466,0.0003466,0.0003466
101,11153.6,0.81859,0.39349,1.06039,0.98147,0.98135,0.9867,0.63099,1.29133,0.42394,1.38306,0.00034,0.00034,0.00034
102,11262.8,0.83774,0.4139,1.07306,0.98867,0.96959,0.98818,0.68244,1.10595,0.3827,1.26506,0.0003334,0.0003334,0.0003334
103,11373.7,0.84952,0.41185,1.06986,0.98148,0.98018,0.98947,0.74529,0.90917,0.34491,1.15634,0.0003268,0.0003268,0.0003268
104,11483.2,0.84344,0.4166,1.07657,0.98945,0.96763,0.98946,0.67628,1.11622,0.39712,1.25941,0.0003202,0.0003202,0.0003202
105,11592.7,0.82919,0.40252,1.05713,0.98693,0.97183,0.99004,0.73449,0.95094,0.35193,1.17444,0.0003136,0.0003136,0.0003136
106,11702.7,0.82227,0.39521,1.06474,0.9824,0.97337,0.98946,0.6995,1.07901,0.38436,1.24426,0.000307,0.000307,0.000307
107,11811.9,0.81097,0.39332,1.05428,0.98814,0.96931,0.98643,0.7045,1.0354,0.36987,1.22649,0.0003004,0.0003004,0.0003004
108,11921.6,0.81685,0.39717,1.05806,0.98013,0.97517,0.98906,0.70085,1.04631,0.37422,1.2348,0.0002938,0.0002938,0.0002938
109,12031.9,0.81292,0.39599,1.05046,0.98108,0.97883,0.98939,0.691,1.08375,0.38278,1.25138,0.0002872,0.0002872,0.0002872
110,12141.4,0.82575,0.40009,1.06433,0.98082,0.9845,0.98913,0.69358,1.08966,0.37438,1.24704,0.0002806,0.0002806,0.0002806
111,12252.1,0.82179,0.3925,1.06979,0.98829,0.97489,0.98981,0.76983,0.81923,0.31917,1.10603,0.000274,0.000274,0.000274
112,12361.9,0.8013,0.38899,1.05147,0.98461,0.97649,0.98816,0.68923,1.09218,0.38056,1.24976,0.0002674,0.0002674,0.0002674
113,12471.5,0.80357,0.39167,1.05433,0.9836,0.97674,0.98935,0.6639,1.16835,0.39746,1.3075,0.0002608,0.0002608,0.0002608
114,12581.4,0.80416,0.39178,1.0479,0.98518,0.97743,0.98802,0.64788,1.21257,0.41356,1.33468,0.0002542,0.0002542,0.0002542
115,12691,0.81285,0.39372,1.05755,0.985,0.97801,0.98963,0.70015,1.06229,0.37463,1.23581,0.0002476,0.0002476,0.0002476
